dnaSampleID	site	year	month	collection_date	habitatType	aquMicrobeType	substratumSizeClass	R1	R2
WALK.20230706.EPILITHON.3.DNA-DNA1	WALK	2023	7	2023-07	riffle	epilithon	cobble	WALK_2023-07_7_R1.fastq.gz	WALK_2023-07_7_R2.fastq.gz
WALK.20230706.EPILITHON.1.DNA-DNA1	WALK	2023	7	2023-07	riffle	epilithon	cobble	WALK_2023-07_2_R1.fastq.gz	WALK_2023-07_2_R2.fastq.gz
WALK.20230706.EPILITHON.2.DNA-DNA1	WALK	2023	7	2023-07	riffle	epilithon	cobble	WALK_2023-07_1_R1.fastq.gz	WALK_2023-07_1_R2.fastq.gz
WALK.20230706.EPILITHON.5.DNA-DNA1	WALK	2023	7	2023-07	riffle	epilithon	pebble	WALK_2023-07_6_R1.fastq.gz	WALK_2023-07_6_R2.fastq.gz
MART.20210707.EPILITHON.7.DNA-DNA1	MART	2021	7	2021-07	pool	epilithon	cobble	MART_2021-07_2_R1.fastq.gz	MART_2021-07_2_R2.fastq.gz
MART.20210707.EPILITHON.3.DNA-DNA1	MART	2021	7	2021-07	riffle	epilithon	cobble	MART_2021-07_6_R1.fastq.gz	MART_2021-07_6_R2.fastq.gz
MART.20210707.EPILITHON.4.DNA-DNA1	MART	2021	7	2021-07	riffle	epilithon	cobble	MART_2021-07_5_R1.fastq.gz	MART_2021-07_5_R2.fastq.gz
MART.20210707.EPILITHON.1.DNA-DNA1	MART	2021	7	2021-07	riffle	epilithon	cobble	MART_2021-07_8_R1.fastq.gz	MART_2021-07_8_R2.fastq.gz
MART.20210707.EPILITHON.5.DNA-DNA1	MART	2021	7	2021-07	pool	epilithon	cobble	MART_2021-07_4_R1.fastq.gz	MART_2021-07_4_R2.fastq.gz
MART.20210707.EPILITHON.8.DNA-DNA1	MART	2021	7	2021-07	riffle	epilithon	cobble	MART_2021-07_1_R1.fastq.gz	MART_2021-07_1_R2.fastq.gz
MART.20210707.EPILITHON.6.DNA-DNA1	MART	2021	7	2021-07	riffle	epilithon	cobble	MART_2021-07_3_R1.fastq.gz	MART_2021-07_3_R2.fastq.gz
MART.20210707.EPILITHON.2.DNA-DNA1	MART	2021	7	2021-07	pool	epilithon	cobble	MART_2021-07_7_R1.fastq.gz	MART_2021-07_7_R2.fastq.gz
MART.20220713.EPILITHON.3.DNA-DNA1	MART	2022	7	2022-07	pool	epilithon	cobble	MART_2022-07_3_R1.fastq.gz	MART_2022-07_3_R2.fastq.gz
MART.20220713.EPILITHON.6.DNA-DNA1	MART	2022	7	2022-07	pool	epilithon	cobble	MART_2022-07_6_R1.fastq.gz	MART_2022-07_6_R2.fastq.gz
MART.20220713.EPILITHON.8.DNA-DNA1	MART	2022	7	2022-07	riffle	epilithon	cobble	MART_2022-07_7_R1.fastq.gz	MART_2022-07_7_R2.fastq.gz
MART.20220713.EPILITHON.4.DNA-DNA1	MART	2022	7	2022-07	riffle	epilithon	cobble	MART_2022-07_4_R1.fastq.gz	MART_2022-07_4_R2.fastq.gz
MART.20220713.EPILITHON.2.DNA-DNA1	MART	2022	7	2022-07	riffle	epilithon	cobble	MART_2022-07_2_R1.fastq.gz	MART_2022-07_2_R2.fastq.gz
MART.20220713.EPILITHON.5.DNA-DNA1	MART	2022	7	2022-07	riffle	epilithon	cobble	MART_2022-07_5_R1.fastq.gz	MART_2022-07_5_R2.fastq.gz
MART.20220713.EPILITHON.1.DNA-DNA1	MART	2022	7	2022-07	pool	epilithon	cobble	MART_2022-07_1_R1.fastq.gz	MART_2022-07_1_R2.fastq.gz
MART.20230725.EPILITHON.8.DNA-DNA1	MART	2023	7	2023-07	riffle	epilithon	cobble	MART_2023-07_1_R1.fastq.gz	MART_2023-07_1_R2.fastq.gz
MART.20230725.EPILITHON.3.DNA-DNA1	MART	2023	7	2023-07	riffle	epilithon	cobble	MART_2023-07_2_R1.fastq.gz	MART_2023-07_2_R2.fastq.gz
MART.20230725.EPILITHON.7.DNA-DNA1	MART	2023	7	2023-07	pool	epilithon	cobble	MART_2023-07_7_R1.fastq.gz	MART_2023-07_7_R2.fastq.gz
MART.20230725.EPILITHON.5.DNA-DNA1	MART	2023	7	2023-07	pool	epilithon	cobble	MART_2023-07_4_R1.fastq.gz	MART_2023-07_4_R2.fastq.gz
MART.20230725.EPILITHON.1.DNA-DNA1	MART	2023	7	2023-07	riffle	epilithon	cobble	MART_2023-07_5_R1.fastq.gz	MART_2023-07_5_R2.fastq.gz
MART.20230725.EPILITHON.2.DNA-DNA1	MART	2023	7	2023-07	pool	epilithon	cobble	MART_2023-07_3_R1.fastq.gz	MART_2023-07_3_R2.fastq.gz
MART.20230725.EPILITHON.4.DNA-DNA1	MART	2023	7	2023-07	riffle	epilithon	cobble	MART_2023-07_8_R1.fastq.gz	MART_2023-07_8_R2.fastq.gz
MART.20230725.EPILITHON.6.DNA-DNA1	MART	2023	7	2023-07	riffle	epilithon	cobble	MART_2023-07_6_R1.fastq.gz	MART_2023-07_6_R2.fastq.gz
