dnaSampleID	genomicsSampleID	site	year	month	collection_date	R1	R2	habitatType	aquMicrobeType	substratumSizeClass	sampleMaterial	sampleTotalReadNumber	sampleFilteredReadNumber	sequencerRunID	instrument_model	qaqcStatus_dna	qaqcStatus_seq
POSE.20220720.EPILITHON.4.DNA-DNA1	POSE.20220720.EPILITHON.4.DNA	POSE	2022	7	2022-07	POSE_2022-07_4_R1.fastq.gz	POSE_2022-07_4_R2.fastq.gz	riffle	epilithon	cobble	biofilm	80164556	67266639	HTLW3DSX7_PoolB	Illumina NovaSeq 6000	Pass	Pass
POSE.20230719.EPILITHON.2.DNA-DNA1	POSE.20230719.EPILITHON.2.DNA	POSE	2023	7	2023-07	POSE_2023-07_3_R1.fastq.gz	POSE_2023-07_3_R2.fastq.gz	riffle	epilithon	cobble	biofilm	348709712	268496122	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
POSE.20230719.EPILITHON.5.DNA-DNA1	POSE.20230719.EPILITHON.5.DNA	POSE	2023	7	2023-07	POSE_2023-07_8_R1.fastq.gz	POSE_2023-07_8_R2.fastq.gz	riffle	epilithon	cobble	biofilm	410186300	339401986	22HGVCLT4	Illumina NovaSeq X 10B	Pass	NA
POSE.20230719.EPILITHON.3.DNA-DNA1	POSE.20230719.EPILITHON.3.DNA	POSE	2023	7	2023-07	POSE_2023-07_4_R1.fastq.gz	POSE_2023-07_4_R2.fastq.gz	riffle	epilithon	cobble	biofilm	288505776	245362542	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
POSE.20230719.EPILITHON.1.DNA-DNA1	POSE.20230719.EPILITHON.1.DNA	POSE	2023	7	2023-07	POSE_2023-07_1_R1.fastq.gz	POSE_2023-07_1_R2.fastq.gz	riffle	epilithon	cobble	biofilm	540911096	404938692	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
POSE.20230719.EPILITHON.4.DNA-DNA1	POSE.20230719.EPILITHON.4.DNA	POSE	2023	7	2023-07	POSE_2023-07_2_R1.fastq.gz	POSE_2023-07_2_R2.fastq.gz	riffle	epilithon	cobble	biofilm	368288776	295533922	22GHFFLT4	Illumina NovaSeq X 10B	Pass	NA
WALK.20220707.EPILITHON.2.DNA-DNA1	WALK.20220707.EPILITHON.2.DNA	WALK	2022	7	2022-07	WALK_2022-07_1_R1.fastq.gz	WALK_2022-07_1_R2.fastq.gz	riffle	epilithon	cobble	biofilm	63806608	54782389	HTLW3DSX7_PoolC	Illumina NovaSeq 6000	Pass	Pass
WALK.20220707.EPILITHON.3.DNA-DNA1	WALK.20220707.EPILITHON.3.DNA	WALK	2022	7	2022-07	WALK_2022-07_2_R1.fastq.gz	WALK_2022-07_2_R2.fastq.gz	riffle	epilithon	cobble	biofilm	47718979	40842243	HTLW3DSX7_PoolC	Illumina NovaSeq 6000	Pass	Pass
WALK.20220707.EPILITHON.5.DNA-DNA1	WALK.20220707.EPILITHON.5.DNA	WALK	2022	7	2022-07	WALK_2022-07_4_R1.fastq.gz	WALK_2022-07_4_R2.fastq.gz	riffle	epilithon	cobble	biofilm	40526130	35641886	HTLW3DSX7_PoolC	Illumina NovaSeq 6000	Pass	Pass
WALK.20220707.EPILITHON.4.DNA-DNA1	WALK.20220707.EPILITHON.4.DNA	WALK	2022	7	2022-07	WALK_2022-07_3_R1.fastq.gz	WALK_2022-07_3_R2.fastq.gz	riffle	epilithon	cobble	biofilm	28243704	24863655	HTLW3DSX7_PoolC	Illumina NovaSeq 6000	Pass	Pass
WALK.20230706.EPILITHON.4.DNA-DNA1	WALK.20230706.EPILITHON.4.DNA	WALK	2023	7	2023-07	WALK_2023-07_3_R1.fastq.gz	WALK_2023-07_3_R2.fastq.gz	riffle	epilithon	cobble	biofilm	604481420	508599734	22G7LFLT4	Illumina NovaSeq X 10B	Pass	NA
WALK.20230706.EPILITHON.3.DNA-DNA1	WALK.20230706.EPILITHON.3.DNA	WALK	2023	7	2023-07	WALK_2023-07_7_R1.fastq.gz	WALK_2023-07_7_R2.fastq.gz	riffle	epilithon	cobble	biofilm	332052254	275180462	22G7LFLT4	Illumina NovaSeq X 10B	Pass	NA
WALK.20230706.EPILITHON.1.DNA-DNA1	WALK.20230706.EPILITHON.1.DNA	WALK	2023	7	2023-07	WALK_2023-07_2_R1.fastq.gz	WALK_2023-07_2_R2.fastq.gz	riffle	epilithon	cobble	biofilm	370666726	287494886	22G7LFLT4	Illumina NovaSeq X 10B	Pass	NA
WALK.20230706.EPILITHON.2.DNA-DNA1	WALK.20230706.EPILITHON.2.DNA	WALK	2023	7	2023-07	WALK_2023-07_1_R1.fastq.gz	WALK_2023-07_1_R2.fastq.gz	riffle	epilithon	cobble	biofilm	288290530	232742880	22G7LFLT4	Illumina NovaSeq X 10B	Pass	NA
WALK.20230706.EPILITHON.5.DNA-DNA1	WALK.20230706.EPILITHON.5.DNA	WALK	2023	7	2023-07	WALK_2023-07_6_R1.fastq.gz	WALK_2023-07_6_R2.fastq.gz	riffle	epilithon	pebble	biofilm	560876134	488344874	22G7LFLT4	Illumina NovaSeq X 10B	Pass	NA
MART.20220713.EPILITHON.3.DNA-DNA1	MART.20220713.EPILITHON.3.DNA	MART	2022	7	2022-07	MART_2022-07_3_R1.fastq.gz	MART_2022-07_3_R2.fastq.gz	pool	epilithon	cobble	biofilm	43402839	35447659	HTLW3DSX7_PoolD	Illumina NovaSeq 6000	Pass	Pass
MART.20220713.EPILITHON.6.DNA-DNA1	MART.20220713.EPILITHON.6.DNA	MART	2022	7	2022-07	MART_2022-07_6_R1.fastq.gz	MART_2022-07_6_R2.fastq.gz	pool	epilithon	cobble	biofilm	75379867	58217712	HTLW3DSX7_PoolD	Illumina NovaSeq 6000	Pass	Pass
MART.20220713.EPILITHON.8.DNA-DNA1	MART.20220713.EPILITHON.8.DNA	MART	2022	7	2022-07	MART_2022-07_7_R1.fastq.gz	MART_2022-07_7_R2.fastq.gz	riffle	epilithon	cobble	biofilm	43890677	34993779	HTLW3DSX7_PoolD	Illumina NovaSeq 6000	Pass	Pass
MART.20220713.EPILITHON.4.DNA-DNA1	MART.20220713.EPILITHON.4.DNA	MART	2022	7	2022-07	MART_2022-07_4_R1.fastq.gz	MART_2022-07_4_R2.fastq.gz	riffle	epilithon	cobble	biofilm	51837226	41400144	HTLW3DSX7_PoolD	Illumina NovaSeq 6000	Pass	Pass
